Frame ID,Object ID,Object Type,LocationX,LocationY,LocationZ,Length,Width,Height,Heading
1,225,4,96.3,32.8,1.0,0.38,0.38,1.86,2.40
1,229,4,94.2,18.9,1.0,0.38,0.38,1.86,0.88
1,220,3,102.4,29.8,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.9,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.5,0.0,3.99,1.85,1.62,1.57
1,223,2,59.1,18.3,0.0,4.44,1.77,1.99,3.07
1,225,4,96.3,32.8,1.0,0.38,0.38,1.86,2.40
1,229,4,94.2,19.0,1.0,0.38,0.38,1.86,0.89
1,220,3,102.4,29.9,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.8,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.5,0.0,3.99,1.85,1.62,1.57
1,223,2,59.1,18.3,0.0,4.44,1.77,1.99,3.07
1,225,4,96.3,32.8,1.0,0.38,0.38,1.86,2.40
1,229,4,94.2,19.0,1.0,0.38,0.38,1.86,0.89
1,220,3,102.4,29.9,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.8,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.5,0.0,3.99,1.85,1.62,1.57
1,223,2,59.1,18.3,0.0,4.44,1.77,1.99,3.07
1,225,4,96.4,32.9,1.0,0.38,0.38,1.86,2.40
1,229,4,94.2,19.0,1.0,0.38,0.38,1.86,0.89
1,220,3,102.4,29.9,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.7,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.4,0.0,3.99,1.85,1.62,1.57
1,223,2,59.1,18.3,0.0,4.44,1.77,1.99,3.07
1,225,4,96.4,32.9,1.0,0.38,0.38,1.86,2.40
1,229,4,94.2,19.0,1.0,0.38,0.38,1.86,0.89
1,220,3,102.4,30.0,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.7,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
1,219,3,101.8,3.6,0.0,2.36,0.76,1.41,1.61
1,218,1,115.6,5.4,0.0,3.99,1.85,1.62,1.57
1,223,2,59.2,18.3,0.0,4.44,1.77,1.99,3.07
1,225,4,96.4,32.9,1.0,0.38,0.38,1.86,2.40
1,229,4,94.1,19.1,1.0,0.38,0.38,1.86,0.89
1,220,3,102.4,30.1,0.0,2.03,0.00,1.30,1.66
1,221,3,78.7,7.6,0.0,1.80,0.00,1.42,1.53
1,217,1,98.1,10.4,0.0,4.97,2.04,1.54,0.60
1,222,2,65.8,11.9,0.0,5.92,1.99,2.56,0.01
1,216,1,101.8,5.3,0.0,5.37,1.80,1.57,1.45
