Server,Client,Vehicle,Map,Simulation time,Speed,Compass,Accelero,Gyroscop,Location,GNSS,Height,Throttle,Steer,Brake,Reverse,Hand brake,Manual
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,3 km/h,91° SE,"(  0.0,  0.0,  0.0)","(  0.0,  0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0,  0.0)","(  0.0,  0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0,  8.0)","( -0.0, -0.0, -0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0,  9.1)","(  0.0, -0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0,  9.5)","(  0.0,  0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0,  9.8)","(  0.0, -0.0, -0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0, 10.2)","(  0.0, -0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0, 10.5)","(  0.0, -0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
0 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0, 10.8)","( -0.0,  0.0,  0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
68 FPS,0 FPS,Mercedes Sprinter,AU,0:00:57,4 km/h,91° SE,"(  0.0,  0.0, 11.1)","(  0.0,  0.0, -0.0)","(-69.6, -21.4)","( 42.000192,  1.999171)",0 m,0.00,0.00,0.00,False,False,False
